iter	Passed	Remaining
850	26398	4622
851	26422	4589
852	26453	4558
853	26484	4527
854	26514	4496
855	26535	4463
856	26563	4432
857	26584	4399
858	26611	4368
859	26633	4335
860	26664	4304
861	26690	4272
862	26719	4241
863	26742	4209
864	26763	4176
865	26791	4145
866	26822	4114
867	26852	4083
868	26881	4052
869	26911	4021
870	26941	3990
871	26972	3959
872	26995	3927
873	27022	3895
874	27056	3865
875	27088	3834
876	27121	3803
877	27154	3773
878	27178	3741
879	27204	3709
880	27239	3679
881	27271	3648
882	27293	3616
883	27323	3585
884	27352	3554
885	27378	3522
886	27407	3491
887	27433	3460
888	27462	3428
889	27496	3398
890	27523	3367
891	27549	3335
892	27577	3304
893	27610	3273
894	27639	3242
895	27670	3211
896	27703	3181
897	27740	3150
898	27769	3119
899	27808	3089
900	27840	3059
901	27876	3028
902	27906	2997
903	27937	2966
904	27968	2935
905	27993	2904
906	28021	2873
907	28049	2842
908	28083	2811
909	28108	2780
910	28140	2749
911	28170	2718
912	28199	2687
913	28234	2656
914	28264	2625
915	28296	2594
916	28323	2563
917	28352	2532
918	28384	2501
919	28417	2471
920	28448	2440
921	28474	2408
922	28501	2377
923	28526	2346
924	28555	2315
925	28586	2284
926	28618	2253
927	28646	2222
928	28673	2191
929	28699	2160
930	28724	2128
931	28749	2097
932	28772	2066
933	28801	2035
934	28835	2004
935	28862	1973
936	28890	1942
937	28914	1911
938	28947	1880
939	28976	1849
940	29002	1818
941	29028	1787
942	29060	1756
943	29089	1725
944	29116	1694
945	29149	1663
946	29172	1632
947	29202	1601
948	29232	1570
949	29261	1540
950	29296	1509
951	29331	1478
952	29360	1448
953	29391	1417
954	29426	1386
955	29449	1355
956	29480	1324
957	29509	1293
958	29530	1262
959	29559	1231
960	29586	1200
961	29620	1170
962	29650	1139
963	29684	1108
964	29719	1077
965	29754	1047
966	29784	1016
967	29813	985
968	29838	954
969	29868	923
970	29899	892
971	29924	862
972	29949	831
973	29981	800
974	30010	769
975	30041	738
976	30071	707
977	30097	677
978	30121	646
979	30146	615
980	30178	584
981	30208	553
982	30232	522
983	30259	492
984	30282	461
985	30315	430
986	30344	399
987	30371	368
988	30397	338
989	30422	307
990	30453	276
991	30480	245
992	30516	215
993	30541	184
994	30572	153
995	30596	122
996	30628	92
997	30657	61
998	30687	30
999	30714	0
